protein	n_obs	status	singular	messages	var_Run	var_BioReplicate	var_Mixture	sigma2	scope	level	var_Run:Channel	var_Run:ionID
Q9R0Q7	104	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.490663299088922	0	0.38469404292396	0.322283774183415	fraction_run	psm	0.171205337925369	1.49104272489737
Q91WE4	7	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q8VEK0	21	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q6PHN9	46	ok	FALSE		1.38903897085575	0.05699166406793	2.16030586861646e-08	0.0106990043696726	fraction_run	psm	0.0140186279578284	0.166043122010327
P97471	7	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
O35326	23	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q8BMA6	36	ok	TRUE	boundary (singular) fit: see help('isSingular')	2.09447434415818	0.343380660908681	0	0.063521232291874	fraction_run	psm	5.6527207792669e-10	3.3794394144174
Q91WK1	13	error	NA	number of levels of each grouping factor must be < number of observations (problems: BioReplicate, Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q6PEB6	29	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q9Z0P7	6	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q80Y56	13	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q9D7V9	30	ok	TRUE	boundary (singular) fit: see help('isSingular')	4.93128670568613e-10	1.92564415910742e-08	9.58052354100464e-11	0.205183282325852	fraction_run	psm	5.84744025121697e-11	8.55120376613407
Q9D1G5	10	error	NA	number of levels of each grouping factor must be < number of observations (problems: BioReplicate, Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
P84091	148	ok	TRUE	boundary (singular) fit: see help('isSingular')	0	0	0	0.254354448184011	fraction_run	psm	0.0420074455125298	2.95585039117479
Q8CHQ0	12	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q62009	196	ok	TRUE	boundary (singular) fit: see help('isSingular')	0	0.101382958386611	0	0.277766638030348	fraction_run	psm	0.0178348794855573	2.883943177128
Q62426	135	ok	FALSE		1.54624912720688	0.078448825315897	4.71568373673461e-05	0.0407064604498881	fraction_run	psm	0.1739394135514	1.21614249012375
Q9D5V6	269	ok	TRUE	boundary (singular) fit: see help('isSingular')	0	0.273919036884661	4.13456454751242e-10	0.17905419735569	fraction_run	psm	0	2.89307566913261
Q9EQG9	43	ok	TRUE	boundary (singular) fit: see help('isSingular')	9.16089907041823e-09	0.0369612583637172	0	0.133878722205049	fraction_run	psm	0	3.5264328512088
Q9D6K8	6	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q8BFR5	351	ok	TRUE	boundary (singular) fit: see help('isSingular')	0	0.0687741147366142	7.44537710256714e-10	0.187567409364142	fraction_run	psm	0.0569245130482389	3.48827849541271
Q9DC16	19	error	NA	number of levels of each grouping factor must be < number of observations (problems: BioReplicate, Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q9DA48	18	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.047552902639554	1.89072285062487	3.8325712070928e-10	0.143981995651149	fraction_run	psm	0	4.15536929824707
Q6Y685	93	ok	TRUE	boundary (singular) fit: see help('isSingular')	0	0.0413076264193459	0	0.200052150897631	fraction_run	psm	0	2.18281346397581
